Nome, Email, Status, Data Criacao
Moreira,teste4@email4.com,ATIVO,28/10/2025
Moreira Joao,teste6@email6.com,INATIVO,02/11/2025
Maria Silva,maria@email.com,INATIVO,02/11/2025
João Santos,joao@email2.com,ATIVO,02/11/2025
Paula Oliveira,paula@email.com,ATIVO,02/11/2025
Rafael Costa,rafael@email.com,INATIVO,02/11/2025
Pedro Fulano,pedro@hotmail.com,ATIVO,02/11/2025
Marcos Ciclano,marcos@hotmail.com,INATIVO,02/11/2025
João Beltrano,joao@hotmail.com,ATIVO,02/11/2025
Rochelle Fulano,rochelle@hotmail.com,ATIVO,02/11/2025
Maria Ciclano,maria@hotmail.com,INATIVO,02/11/2025
Fernanda Beltrano,fernanda@hotmail.com,ATIVO,02/11/2025
Carlos Andrade,carlos.andrade@email.com,ATIVO,02/11/2025
Patrícia Souza,patricia.souza@email.com,INATIVO,02/11/2025
Felipe Moura,felipe.moura@email.com,ATIVO,02/11/2025
Renata Campos,renata.campos@email.com,ATIVO,02/11/2025
André Oliveira,andre.oliveira@email.com,INATIVO,02/11/2025
Camila Freitas,camila.freitas@email.com,ATIVO,02/11/2025
Letícia Martins,leticia.martins@email.com,ATIVO,02/11/2025
Rafael Nunes,rafael.nunes@email.com,INATIVO,02/11/2025
Carolina Alves,carolina.alves@email.com,ATIVO,02/11/2025
Eduardo Rocha,eduardo.rocha@email.com,INATIVO,02/11/2025
Aline Castro,aline.castro@email.com,ATIVO,02/11/2025
Tiago Faria,tiago.faria@email.com,INATIVO,02/11/2025
Marcos Lima,marcos.lima@email.com,ATIVO,02/11/2025
Patrícia Diniz,patricia.diniz@email.com,INATIVO,02/11/2025
João Prado,joao.prado@email.com,ATIVO,02/11/2025
ZezimPOKAS,teste6@email000.com,ATIVO,28/10/2025
Jose,moreira@gmail.com,ATIVO,02/11/2025
laura,xx@xx.com,ATIVO,02/11/2025
maicon,teste2@email2.com,INATIVO,28/10/2025
Mauricio,jeeh@hotmail.com,ATIVO,02/11/2025
